,변동사유발생연월일,구분,횟수
0,2019-01-02,휴업,2
1,2019-01-03,등록취소,1
2,2019-01-03,신규등록,1
3,2019-01-03,폐업,1
4,2019-01-03,휴업,3
5,2019-01-04,신규등록,1
6,2019-01-04,폐업,4
7,2019-01-04,휴업,1
8,2019-01-07,휴업,3
9,2019-01-08,신규등록,1
10,2019-01-08,휴업,4
11,2019-01-09,신규등록,1
12,2019-01-09,폐업,2
13,2019-01-10,신규등록,1
14,2019-01-10,폐업,1
15,2019-01-10,휴업,1
16,2019-01-11,신규등록,1
17,2019-01-11,폐업,2
18,2019-01-14,폐업,1
19,2019-01-14,휴업,3
20,2019-01-15,폐업,1
21,2019-01-15,휴업,2
22,2019-01-16,휴업,2
23,2019-01-17,폐업,1
24,2019-01-18,신규등록,1
25,2019-01-18,폐업,1
26,2019-01-18,휴업,3
27,2019-01-21,신규등록,1
28,2019-01-21,휴업,2
29,2019-01-22,폐업,1
30,2019-01-22,휴업,2
31,2019-01-23,신규등록,1
32,2019-01-23,휴업,2
33,2019-01-24,신규등록,1
34,2019-01-24,휴업,5
35,2019-01-25,휴업,2
36,2019-01-28,신규등록,3
37,2019-01-29,신규등록,2
38,2019-01-29,폐업,1
39,2019-01-29,휴업,2
40,2019-01-30,폐업,1
41,2019-01-30,휴업,1
42,2019-01-31,휴업,2
43,2019-02-01,등록취소,1
44,2019-02-01,신규등록,1
45,2019-02-01,휴업,2
46,2019-02-07,폐업,1
47,2019-02-07,휴업,4
48,2019-02-08,휴업,1
49,2019-02-11,폐업,2
50,2019-02-11,휴업,8
51,2019-02-12,신규등록,1
52,2019-02-12,폐업,1
53,2019-02-12,휴업,3
54,2019-02-13,폐업,1
55,2019-02-13,휴업,2
56,2019-02-14,휴업,1
57,2019-02-18,신규등록,1
58,2019-02-18,폐업,1
59,2019-02-18,휴업,2
60,2019-02-19,폐업,1
61,2019-02-19,휴업,1
62,2019-02-20,신규등록,1
63,2019-02-20,폐업,2
64,2019-02-20,휴업,1
65,2019-02-21,신규등록,1
66,2019-02-21,휴업,1
67,2019-02-25,신규등록,1
68,2019-02-25,폐업,3
69,2019-02-25,휴업,1
70,2019-02-26,폐업,1
71,2019-02-27,휴업,3
72,2019-02-28,신규등록,1
73,2019-02-28,휴업,3
74,2019-03-04,신규등록,1
75,2019-03-04,폐업,1
76,2019-03-04,휴업,2
77,2019-03-05,휴업,1
78,2019-03-06,신규등록,1
79,2019-03-06,폐업,3
80,2019-03-06,휴업,2
81,2019-03-07,신규등록,1
82,2019-03-07,폐업,2
83,2019-03-07,휴업,1
84,2019-03-08,신규등록,1
85,2019-03-08,폐업,2
86,2019-03-11,신규등록,1
87,2019-03-11,폐업,1
88,2019-03-12,신규등록,1
89,2019-03-12,휴업,2
90,2019-03-13,신규등록,1
91,2019-03-13,휴업,1
92,2019-03-14,신규등록,1
93,2019-03-14,폐업,1
94,2019-03-14,휴업,1
95,2019-03-15,신규등록,1
