,변동사유발생연월일,구분,횟수
168,2020-05,폐업,79
169,2020-05,휴업,194
170,2020-05,폐업,80
171,2020-05,휴업,195
172,2020-05,신규등록,31
173,2020-05,폐업,81
174,2020-05,신규등록,33
175,2020-05,폐업,82
176,2020-05,폐업,83
177,2020-05,휴업,197
178,2020-05,휴업,198
179,2020-05,폐업,86
180,2020-05,휴업,200
181,2020-05,휴업,203
182,2020-05,폐업,87
183,2020-05,휴업,205
184,2020-05,폐업,88
185,2020-05,휴업,206
186,2020-05,폐업,91
187,2020-05,휴업,208
188,2020-05,신규등록,34
189,2020-05,휴업,213
190,2020-06,폐업,92
191,2020-06,휴업,216
192,2020-06,폐업,94
193,2020-06,휴업,218
194,2020-06,등록취소,10
195,2020-06,휴업,222
196,2020-06,휴업,223
197,2020-06,휴업,224
198,2020-06,휴업,227
199,2020-06,폐업,96
200,2020-06,휴업,229
201,2020-06,폐업,97
202,2020-06,휴업,231
203,2020-06,폐업,99
204,2020-06,휴업,232
205,2020-06,폐업,101
206,2020-06,휴업,234
207,2020-06,신규등록,36
208,2020-06,폐업,102
209,2020-06,휴업,236
210,2020-06,휴업,239
211,2020-06,신규등록,37
212,2020-06,휴업,240
213,2020-06,신규등록,38
214,2020-06,폐업,104
215,2020-06,휴업,242
216,2020-06,휴업,248
217,2020-06,휴업,253
218,2020-06,신규등록,39
219,2020-06,폐업,106
220,2020-06,휴업,258
221,2020-06,폐업,108
222,2020-06,휴업,261
223,2020-07,휴업,265
224,2020-07,휴업,270
225,2020-07,폐업,110
226,2020-07,휴업,275
227,2020-07,등록취소,11
228,2020-07,폐업,112
229,2020-07,휴업,276
230,2020-07,폐업,113
231,2020-07,휴업,278
232,2020-07,폐업,116
233,2020-07,휴업,281
234,2020-07,신규등록,40
235,2020-07,휴업,283
236,2020-07,휴업,285
237,2020-07,신규등록,41
238,2020-07,휴업,287
239,2020-07,폐업,117
240,2020-07,휴업,289
241,2020-07,등록취소,12
242,2020-07,신규등록,42
243,2020-07,휴업,291
244,2020-07,휴업,293
245,2020-07,폐업,118
246,2020-07,휴업,294
247,2020-07,폐업,119
248,2020-07,휴업,295
249,2020-07,폐업,120
250,2020-07,휴업,297
251,2020-07,휴업,298
252,2020-07,폐업,121
253,2020-07,휴업,301
254,2020-07,신규등록,43
255,2020-07,폐업,122
256,2020-07,휴업,303
257,2020-07,휴업,305
258,2020-08,휴업,310
259,2020-08,폐업,123
260,2020-08,휴업,311
261,2020-08,폐업,125
262,2020-08,휴업,313
263,2020-08,신규등록,45
264,2020-08,휴업,315
265,2020-08,폐업,126
266,2020-08,신규등록,46
267,2020-08,폐업,129
268,2020-08,휴업,319
269,2020-08,휴업,321
270,2020-08,폐업,130
271,2020-08,휴업,323
272,2020-08,신규등록,47
273,2020-08,폐업,131
274,2020-08,폐업,133
275,2020-08,휴업,324
276,2020-08,폐업,134
277,2020-08,폐업,135
278,2020-08,휴업,327
279,2020-08,신규등록,48
280,2020-08,폐업,136
281,2020-08,등록취소,13
282,2020-08,신규등록,49
283,2020-08,폐업,137
284,2020-08,휴업,329
285,2020-08,신규등록,51
286,2020-08,폐업,139
287,2020-08,휴업,331
288,2020-08,신규등록,52
289,2020-08,휴업,336
290,2020-08,신규등록,54
291,2020-08,휴업,339
292,2020-08,신규등록,55
293,2020-08,폐업,140
294,2020-08,휴업,341
295,2020-09,폐업,141
296,2020-09,폐업,142
297,2020-09,신규등록,56
298,2020-09,휴업,345
299,2020-09,폐업,144
300,2020-09,휴업,347
301,2020-09,신규등록,57
302,2020-09,휴업,349
303,2020-09,휴업,350
304,2020-09,신규등록,58
305,2020-09,폐업,145
306,2020-09,휴업,354
307,2020-09,폐업,148
308,2020-09,휴업,355
309,2020-09,폐업,150
310,2020-09,휴업,358
311,2020-09,신규등록,59
312,2020-09,폐업,151
313,2020-09,휴업,362
314,2020-09,폐업,152
315,2020-09,휴업,363
316,2020-09,신규등록,60
317,2020-09,휴업,366
318,2020-09,휴업,368
319,2020-09,폐업,153
320,2020-09,휴업,369
321,2020-09,등록취소,14
322,2020-09,폐업,154
323,2020-09,휴업,370
324,2020-09,신규등록,61
325,2020-09,폐업,156
326,2020-09,휴업,371
327,2020-09,폐업,157
328,2020-09,휴업,372
329,2020-09,폐업,158
330,2020-09,휴업,376
331,2020-09,휴업,379
332,2020-10,폐업,160
333,2020-10,휴업,381
334,2020-10,신규등록,62
335,2020-10,폐업,162
336,2020-10,휴업,386
337,2020-10,등록취소,15
338,2020-10,휴업,388
339,2020-10,폐업,163
340,2020-10,신규등록,64
341,2020-10,폐업,166
342,2020-10,휴업,391
343,2020-10,폐업,167
344,2020-10,휴업,394
345,2020-10,폐업,169
346,2020-10,휴업,395
347,2020-10,신규등록,66
348,2020-10,폐업,170
349,2020-10,등록취소,17
350,2020-10,폐업,171
351,2020-10,휴업,399
352,2020-10,신규등록,67
353,2020-10,폐업,176
354,2020-10,휴업,400
355,2020-10,신규등록,69
356,2020-10,폐업,177
357,2020-10,휴업,402
358,2020-10,폐업,178
359,2020-10,휴업,404
360,2020-10,휴업,406
361,2020-10,등록취소,18
362,2020-10,신규등록,70
363,2020-10,폐업,180
364,2020-10,휴업,407
365,2020-10,폐업,181
366,2020-10,휴업,409
367,2020-10,휴업,412
368,2020-10,신규등록,72
369,2020-10,휴업,415
370,2020-10,신규등록,74
371,2020-10,휴업,417
372,2020-10,휴업,419
373,2020-11,휴업,423
374,2020-11,신규등록,76
375,2020-11,폐업,182
376,2020-11,휴업,424
377,2020-11,신규등록,77
378,2020-11,폐업,184
379,2020-11,휴업,425
380,2020-11,폐업,185
381,2020-11,등록취소,19
382,2020-11,휴업,426
383,2020-11,폐업,187
384,2020-11,휴업,429
385,2020-11,신규등록,78
386,2020-11,휴업,431
387,2020-11,폐업,189
388,2020-11,휴업,432
389,2020-11,휴업,433
390,2020-11,등록취소,21
391,2020-11,폐업,191
392,2020-11,휴업,435
393,2020-11,폐업,192
394,2020-11,폐업,193
395,2020-11,폐업,196
396,2020-11,휴업,436
397,2020-11,휴업,437
398,2020-11,휴업,439
399,2020-11,휴업,440
400,2020-11,폐업,198
401,2020-11,휴업,441
402,2020-11,폐업,200
403,2020-11,휴업,445
404,2020-11,휴업,446
405,2020-11,신규등록,79
406,2020-11,폐업,201
407,2020-11,휴업,448
408,2020-12,폐업,202
409,2020-12,휴업,450
410,2020-12,폐업,204
411,2020-12,휴업,452
412,2020-12,휴업,456
413,2020-12,신규등록,80
414,2020-12,폐업,205
415,2020-12,폐업,206
416,2020-12,휴업,457
417,2020-12,휴업,458
418,2020-12,신규등록,82
419,2020-12,휴업,461
420,2020-12,폐업,207
421,2020-12,휴업,462
422,2020-12,폐업,208
423,2020-12,휴업,463
424,2020-12,신규등록,83
425,2020-12,휴업,464
426,2020-12,휴업,469
427,2020-12,신규등록,84
428,2020-12,폐업,209
429,2020-12,휴업,470
430,2020-12,폐업,210
431,2020-12,휴업,473
432,2020-12,폐업,211
433,2020-12,휴업,477
434,2020-12,휴업,478
435,2020-12,폐업,213
436,2020-12,휴업,481
437,2020-12,휴업,485
438,2020-12,휴업,487
439,2020-12,휴업,488
440,2020-12,폐업,214
441,2020-12,휴업,495
442,2020-12,폐업,215
443,2020-12,휴업,502
444,2020-12,등록취소,22
445,2020-12,폐업,217
446,2020-12,휴업,510
447,2020-12,등록취소,23
448,2020-12,신규등록,85
449,2020-12,폐업,220
450,2020-12,휴업,514
