,변동사유발생연월일,구분,횟수
0,2020-01,폐업,1
1,2020-01,휴업,4
2,2020-01,폐업,2
3,2020-01,휴업,8
4,2020-01,폐업,5
5,2020-01,휴업,10
6,2020-01,신규등록,1
7,2020-01,휴업,13
8,2020-01,폐업,6
9,2020-01,휴업,19
10,2020-01,휴업,22
11,2020-01,신규등록,2
12,2020-01,폐업,9
13,2020-01,휴업,25
14,2020-01,폐업,10
15,2020-01,휴업,26
16,2020-01,폐업,11
17,2020-01,휴업,29
18,2020-01,폐업,13
19,2020-01,휴업,32
20,2020-01,휴업,34
21,2020-01,폐업,14
22,2020-01,휴업,38
23,2020-01,폐업,15
24,2020-01,휴업,42
25,2020-01,신규등록,3
26,2020-01,휴업,43
27,2020-01,폐업,17
28,2020-01,휴업,45
29,2020-01,휴업,46
30,2020-01,등록취소,1
31,2020-01,폐업,19
32,2020-01,휴업,47
33,2020-01,신규등록,5
34,2020-01,휴업,51
35,2020-01,등록취소,2
36,2020-01,폐업,20
37,2020-01,휴업,52
38,2020-02,휴업,57
39,2020-02,신규등록,6
40,2020-02,휴업,60
41,2020-02,휴업,62
42,2020-02,등록취소,3
43,2020-02,신규등록,8
44,2020-02,휴업,65
45,2020-02,신규등록,9
46,2020-02,신규등록,10
47,2020-02,폐업,22
48,2020-02,휴업,67
49,2020-02,폐업,23
50,2020-02,휴업,69
51,2020-02,폐업,24
52,2020-02,휴업,70
53,2020-02,폐업,25
54,2020-02,휴업,73
55,2020-02,신규등록,11
56,2020-02,휴업,77
57,2020-02,휴업,78
58,2020-02,폐업,26
59,2020-02,폐업,27
60,2020-02,휴업,80
61,2020-02,신규등록,12
62,2020-02,휴업,82
63,2020-02,신규등록,13
64,2020-02,휴업,83
65,2020-02,휴업,88
66,2020-02,휴업,91
67,2020-02,폐업,29
68,2020-02,휴업,92
69,2020-02,폐업,30
70,2020-03,폐업,31
71,2020-03,휴업,96
72,2020-03,폐업,32
73,2020-03,휴업,98
74,2020-03,휴업,100
75,2020-03,신규등록,14
76,2020-03,휴업,102
77,2020-03,폐업,34
78,2020-03,휴업,105
79,2020-03,폐업,36
80,2020-03,휴업,108
81,2020-03,폐업,37
82,2020-03,휴업,109
83,2020-03,휴업,110
84,2020-03,폐업,38
85,2020-03,휴업,111
86,2020-03,폐업,39
87,2020-03,휴업,114
88,2020-03,휴업,118
89,2020-03,등록취소,4
90,2020-03,휴업,120
91,2020-03,폐업,40
92,2020-03,휴업,121
93,2020-03,신규등록,15
94,2020-03,휴업,122
95,2020-03,휴업,123
96,2020-03,휴업,125
97,2020-03,신규등록,16
98,2020-03,폐업,41
99,2020-03,휴업,129
100,2020-03,휴업,130
101,2020-03,휴업,131
102,2020-03,등록취소,5
103,2020-03,폐업,42
104,2020-03,휴업,133
105,2020-03,등록취소,6
106,2020-03,신규등록,17
107,2020-03,폐업,44
108,2020-03,휴업,135
109,2020-04,등록취소,7
110,2020-04,휴업,137
111,2020-04,폐업,45
112,2020-04,휴업,138
113,2020-04,휴업,142
114,2020-04,신규등록,18
115,2020-04,휴업,143
116,2020-04,등록취소,8
117,2020-04,폐업,47
118,2020-04,휴업,145
119,2020-04,휴업,146
120,2020-04,폐업,49
121,2020-04,휴업,147
122,2020-04,폐업,51
123,2020-04,휴업,149
124,2020-04,신규등록,19
125,2020-04,폐업,52
126,2020-04,휴업,151
127,2020-04,신규등록,21
128,2020-04,휴업,154
129,2020-04,신규등록,22
130,2020-04,폐업,55
131,2020-04,휴업,155
132,2020-04,폐업,57
133,2020-04,휴업,157
134,2020-04,신규등록,23
135,2020-04,폐업,58
136,2020-04,휴업,160
137,2020-04,폐업,59
138,2020-04,휴업,162
139,2020-04,폐업,61
140,2020-04,휴업,164
141,2020-04,폐업,62
142,2020-04,휴업,167
143,2020-04,폐업,63
144,2020-04,휴업,171
145,2020-04,신규등록,24
146,2020-04,폐업,64
147,2020-04,휴업,177
148,2020-04,신규등록,25
149,2020-04,폐업,66
150,2020-04,휴업,179
151,2020-04,등록취소,9
152,2020-04,폐업,68
153,2020-04,휴업,182
154,2020-05,신규등록,27
155,2020-05,폐업,70
156,2020-05,휴업,183
157,2020-05,폐업,71
158,2020-05,폐업,73
159,2020-05,폐업,74
160,2020-05,휴업,185
161,2020-05,신규등록,29
162,2020-05,폐업,75
163,2020-05,휴업,186
164,2020-05,휴업,189
165,2020-05,신규등록,30
166,2020-05,휴업,191
167,2020-05,폐업,76
