,지역,상호,주소,상표
74,서울,복지신정충전소,서울 양천구 안양천로 669  ,E1
75,서울,오승프라임산업㈜ 궁동충전소,서울 구로구 신정로 59 (궁동)  ,SK가스
76,서울,대흥에너지산업㈜,서울 강서구 곰달래로 24번길 19 (화곡동)  ,E1
77,서울,공항로충전소,서울 강서구 공항대로 468 (등촌동)  ,GS칼텍스
78,서울,복지잠실충전소,서울 송파구 삼전로 47 (잠실동)  ,SK가스
79,서울,SK개봉충전소,서울 구로구 경인로 364 (개봉동)  ,SK가스
80,경기,시흥하늘충전소(판교방향),경기도 시흥시 서울외곽순환고속도로 105 (조남동) 1,SK
81,경기,시흥하늘충전소(일산방향),"경기도 시흥시 서울외곽순환고속도로 105-1, (조남동) 시흥하늘충전소(일산방향)",SK
82,경기,뉴시티충전소,경기 화성시 화성로 1286 (송림동)  ,S-OiL
83,경기,신성석유㈜ 금촌충전소,경기 파주시 통일로 598 (아동동)  ,SK가스
84,경기,신성석유㈜,경기 파주시 문산읍 통일로 1712  ,SK가스
85,경기,신성석유㈜ 운정가스충전소,경기 파주시 다율동 파주로 379  ,SK가스
86,경기,㈜시흥에너지,경기 시흥시 서해안로 768 (월곶동)  ,SK
87,경기,목감신도시충전소,"경기도 시흥시 동서로 950, 목감신도시충전소 (조남동) 목감신도시충전소",SK
88,경기,고색충전소,경기 수원시 권선구 권선로 252 (고색동)  ,SK
89,경기,더불어충전소,경기 고양시 일산동구 고봉로 672 (성석동)  ,"기타(무폴,복수폴)"
90,경기,퇴계원IC충전소,경기도 남양주시 퇴계원면 경춘북로 477  ,SK가스
91,경기,명품충전소,경기 파주시 적성면 청송로 978  ,GS칼텍스
92,경기,평택항충전소,경기 평택시 포승읍 포승향남로 228  ,GS칼텍스
93,경기,기아자동차(주),경기 화성시 우정읍 기아자동차로 95  ,현대오일뱅크
94,경기,㈜삼진에너지 남양충전소,경기 화성시 화성로 1412 (북양동)  ,현대오일뱅크
95,경기,서진충전소,경기 이천시 황무로 747 (송정동)  ,SK가스
96,경기,SK 하남충전소(P),경기 하남시 창우로 130 (창우동)  ,SK가스
97,경기,에스케이에너지,경기 평택시 경기대로 1038 (장당동)  ,SK가스
98,경기,에스케이 원일충전소,경기 의왕시 안양판교로 372 (학의동)  ,SK가스
99,경기,에스케이가스(주),경기 평택시 포승읍 남양만로 138  ,SK가스
100,경기,베스트오일㈜직영 용인웰컴엘피지충전소,경기 용인시 처인구 양지면 중부대로 1863  ,S-OiL
101,경기,태광에너지충전소,경기 파주시 파주읍 통일로 1120  ,SK
102,경기,대성산업㈜ 의정부충전소,경기 의정부시 평화로 433 (의정부동)  ,GS칼텍스
103,경기,대성산업㈜ 성남충전소,경기 성남시 중원구 둔촌대로 347 (하대원동)  ,GS칼텍스
104,경기,대성산업㈜ 곤지암충전소,경기 광주시 평촌길 11번길 72 (곤지암읍)  ,GS칼텍스
105,경기,대성산업(주) 캔사업소,경기도 포천시 영중면 호국로2583번길 (영중면),GS칼텍스
106,경기,대성산업㈜ 북부충전소,경기 포천시 영중면 호국로 2583  ,GS칼텍스
107,경기,대성산업㈜ 경춘충전소,경기 구리시 경춘로 217 (인창동)  ,GS칼텍스
108,경기,대성산업(주)아천충전소,경기 구리시 아차산로 196 (아천동)  ,GS칼텍스
109,경기,송탄충전소,경기 평택시 탄현로 400 (독곡동)  ,SK가스
